    | Name                          | Type                     | Params | Mode 
176 | decoder.block.0.conv1         | Sequential               | 5.3 M  | train
177 | decoder.block.0.conv1.0       | Conv3d                   | 5.3 M  | train
178 | decoder.block.0.conv1.1       | BatchNorm3d              | 512    | train
179 | decoder.block.0.conv1.2       | ReLU                     | 0      | train
180 | decoder.block.0.attention1    | Identity                 | 0      | train
181 | decoder.block.0.conv2         | Sequential               | 1.8 M  | train
182 | decoder.block.0.conv2.0       | Conv3d                   | 1.8 M  | train
183 | decoder.block.0.conv2.1       | BatchNorm3d              | 512    | train
184 | decoder.block.0.conv2.2       | ReLU                     | 0      | train
185 | decoder.block.0.attention2    | Identity                 | 0      | train
186 | decoder.block.1               | MyDecoderBlock3d         | 1.8 M  | train
187 | decoder.block.1.conv1         | Sequential               | 1.3 M  | train
188 | decoder.block.1.conv1.0       | Conv3d                   | 1.3 M  | train
189 | decoder.block.1.conv1.1       | BatchNorm3d              | 256    | train
190 | decoder.block.1.conv1.2       | ReLU                     | 0      | train
191 | decoder.block.1.attention1    | Identity                 | 0      | train
192 | decoder.block.1.conv2         | Sequential               | 442 K  | train
193 | decoder.block.1.conv2.0       | Conv3d                   | 442 K  | train
194 | decoder.block.1.conv2.1       | BatchNorm3d              | 256    | train
195 | decoder.block.1.conv2.2       | ReLU                     | 0      | train
196 | decoder.block.1.attention2    | Identity                 | 0      | train
197 | decoder.block.2               | MyDecoderBlock3d         | 442 K  | train
198 | decoder.block.2.conv1         | Sequential               | 331 K  | train
199 | decoder.block.2.conv1.0       | Conv3d                   | 331 K  | train
200 | decoder.block.2.conv1.1       | BatchNorm3d              | 128    | train
201 | decoder.block.2.conv1.2       | ReLU                     | 0      | train
202 | decoder.block.2.attention1    | Identity                 | 0      | train
203 | decoder.block.2.conv2         | Sequential               | 110 K  | train
204 | decoder.block.2.conv2.0       | Conv3d                   | 110 K  | train
205 | decoder.block.2.conv2.1       | BatchNorm3d              | 128    | train
206 | decoder.block.2.conv2.2       | ReLU                     | 0      | train
207 | decoder.block.2.attention2    | Identity                 | 0      | train
208 | decoder.block.3               | MyDecoderBlock3d         | 138 K  | train
209 | decoder.block.3.conv1         | Sequential               | 110 K  | train
210 | decoder.block.3.conv1.0       | Conv3d                   | 110 K  | train
211 | decoder.block.3.conv1.1       | BatchNorm3d              | 64     | train
212 | decoder.block.3.conv1.2       | ReLU                     | 0      | train
